supplier_id,name,industry,country,city,address,postal_code,political_risk,trade_risk,natural_disaster_risk,revenue_growth_yoy,net_profit_margin,credit_rating,on_time_delivery_rate,quality_score,response_time_hours,years_in_business,employee_count,certification,email,phone,total_orders,actual_on_time_rate,total_business_value,completed_orders,products
SUP1102,Quantum Limited,Food & Beverage,India,Nashik,844 MG Road,149518,4.9,3.5,6.2,13.2,3.29,A,93.0,3.41,21.8,15,3378,ISO 9001,info@quantumlimited.in,+91-22-42262476,425,94.21,47944738.81,355,"packaged snacks, spices, beverages"
SUP1103,Alpha Technologies,Pharma,India,Lucknow,109 Zone 4,815831,2.6,1.4,6.1,26.73,9.26,A-,70.49,3.56,24.2,41,4755,ISO 14001,info@alphatechnologies.in,+91-22-42682927,248,66.47,6416435.38,207,"injections, syrups, ointments"
SUP1104,Advanced Products,Textiles,India,Allahabad,743 Main Street,970832,3.4,2.4,5.9,24.76,12.76,BBB+,82.18,4.14,43.2,39,3009,ISO 14001,info@advancedproducts.in,+91-33-61091730,461,96.44,9862977.92,443,"knitted goods, industrial fabrics"
SUP1105,Metro Supplies,Machinery,India,Jabalpur,195 Business District,788260,2.5,2.2,3.6,2.86,8.6,A,92.17,4.96,46.4,15,3484,ISO 14001,info@metrosupplies.in,+91-33-80335854,437,75.52,45066956.98,311,"packaging machines, assembly line equipment"
SUP1106,Continental Works,Chemicals,India,Surat,1 Main Street,625142,3.6,1.5,4.0,8.09,16.76,BBB+,79.86,3.33,27.4,21,3589,ISO 9001,info@continentalworks.in,+91-22-31754747,330,81.59,3648363.49,314,"industrial chemicals, polymers"
SUP1107,United Company,Textiles,India,Aurangabad,191 Main Street,560689,3.3,4.1,6.4,11.92,15.81,BBB,96.81,3.41,13.9,7,1352,ISO 14001,info@unitedcompany.in,+91-20-55519550,177,79.92,12939845.78,143,"towels, upholstery fabrics"
SUP1108,Continental Group,Construction,India,Ludhiana,184 MG Road,874579,1.8,2.3,6.3,19.97,7.66,AAA,72.23,3.1,13.4,27,3040,ISO 9001,info@continentalgroup.in,+91-11-82349309,357,87.62,35243681.96,252,"bricks, roofing materials, tiles"
SUP1109,Advanced Technologies,Electronics,India,Ludhiana,166 Industrial Area,471960,3.4,2.5,6.8,30.3,12.73,A-,72.82,3.6,35.9,8,208,ISO 9001,info@advancedtechnologies.in,+91-22-69624801,242,92.79,13476155.72,229,"cameras, sensors, semiconductors"
SUP1110,Advanced Technologies,Food & Beverage,India,Faridabad,763 Main Street,475068,3.9,2.9,6.6,22.61,10.11,AA+,79.84,4.58,16.6,45,3649,ISO 9001,info@advancedtechnologies.in,+91-20-26362142,474,82.88,49335885.68,468,"instant foods, tea, coffee"
SUP1111,Delta Group,Automotive,India,Kalyan-Dombivali,675 Industrial Area,756070,2.9,1.5,6.7,-2.32,12.82,A+,74.33,4.28,39.1,42,783,ISO 9001,info@deltagroup.in,+91-22-97597713,158,93.47,19222445.58,142,"bearings, transmissions"
SUP1112,Innovative Solutions,Automotive,India,Mumbai,887 Sector 30,108313,1.6,3.1,5.4,19.14,6.99,A+,77.83,4.76,33.1,7,1953,ISO 14001,info@innovativesolutions.in,+91-40-67467511,354,71.76,2921606.61,283,"transmissions, clutches, bearings"
SUP1113,Quantum Limited,Pharma,India,Nagpur,403 MG Road,976956,3.8,3.0,2.8,8.23,16.18,BBB,89.64,3.89,32.4,22,4355,ISO 14001,info@quantumlimited.in,+91-40-68407653,450,95.48,9170377.92,338,"injections, ointments, syrups"
SUP1114,Frontier Pvt Ltd,Construction,India,Chennai,899 MG Road,776626,2.2,4.2,5.0,-1.4,17.16,BB,87.45,3.4,19.4,28,4349,ISO 14001,info@frontierpvtltd.in,+91-40-49551311,170,74.31,6176818.58,168,"plumbing fixtures, electrical fittings"
SUP1115,Metro International,Electronics,India,Srinagar,61 Industrial Area,587957,2.0,3.9,3.7,17.68,9.02,BBB-,96.5,4.86,1.6,11,3176,,info@metrointernational.in,+91-22-90576425,125,88.56,33670058.53,108,"adapters, chargers"
SUP1116,Synergy Products,Machinery,India,Faridabad,880 Main Street,380182,2.8,2.5,6.7,25.34,14.71,BBB-,80.69,3.57,29.9,37,3469,ISO 14001,info@synergyproducts.in,+91-80-41467521,320,86.63,47559473.92,301,"welding machines, drilling equipment"
SUP1117,Royal Solutions,Automotive,India,Thane,922 Business District,517522,3.9,3.7,4.5,28.38,8.68,AA,88.64,3.84,4.1,21,4649,ISO 9001,info@royalsolutions.in,+91-40-17059873,361,83.73,47305963.67,346,"batteries, wiring harnesses, lighting systems"
SUP1118,Frontier Technologies,Machinery,India,Varanasi,919 Sector 54,788599,3.7,4.0,3.7,22.5,12.96,BBB+,89.87,3.66,10.8,24,1474,,info@frontiertechnologies.in,+91-11-41071064,330,82.96,5994635.77,321,"presses, packaging machines"
SUP1119,Apex Supplies,Textiles,India,Srinagar,552 Main Street,533306,5.4,3.0,4.5,12.99,4.72,AA-,80.15,3.34,25.4,8,4790,ISO 14001,info@apexsupplies.in,+91-11-46165977,182,90.23,570367.51,129,"cotton fabrics, polyester yarn, finished garments"
SUP1120,Orion Industries,Food & Beverage,India,Indore,352 MG Road,527755,3.9,4.4,2.3,-3.44,14.07,A,91.71,3.3,3.9,36,4373,ISO 9001,info@orionindustries.in,+91-22-14904317,405,78.61,12434645.4,361,"dairy products, frozen foods, bakery items"
SUP1121,Apex Products,Chemicals,India,Rajkot,565 Main Street,176738,4.6,2.8,6.5,-4.07,8.42,AA-,88.07,3.05,39.9,12,4419,ISO 14001,info@apexproducts.in,+91-44-78989012,41,70.67,23946148.49,40,"paints, coatings, solvents"
SUP1122,Innovative Associates,Construction,India,Ranchi,732 MG Road,536881,1.8,1.2,5.7,-3.17,8.2,A-,90.21,3.08,32.6,6,1750,ISO 9001,info@innovativeassociates.in,+91-44-48885567,483,68.41,45492976.29,357,"roofing materials, bricks"
SUP1123,Zenith Systems,Chemicals,India,Coimbatore,617 Business District,540581,2.2,1.9,3.9,19.94,12.42,A,85.62,4.04,18.8,22,4397,ISO 14001,info@zenithsystems.in,+91-79-56229145,353,72.78,34320495.15,247,"fertilizers, herbicides, pesticides"
SUP1124,Dynamic Associates,Machinery,India,Kanpur,911 Business District,573694,2.2,1.1,3.3,4.67,12.72,A,98.16,4.35,22.5,9,4853,ISO 14001,info@dynamicassociates.in,+91-40-95543236,259,69.38,33129880.02,242,"presses, packaging machines, assembly line equipment"
SUP1125,Innovative Supplies,Chemicals,India,Amritsar,986 Zone 19,785870,3.7,1.2,3.4,4.27,10.44,BBB,71.3,3.4,17.1,39,2774,ISO 9001,info@innovativesupplies.in,+91-79-57493592,189,84.58,16608468.77,146,"resins, pigments, dyes"
SUP1126,Royal Pvt Ltd,Automotive,India,Srinagar,977 Zone 23,247776,2.6,4.3,3.0,9.84,5.55,BBB-,72.43,4.13,1.3,8,614,ISO 9001,info@royalpvtltd.in,+91-44-11646430,470,80.58,9492115.04,352,"brake systems, suspension parts"
SUP1127,Pinnacle Corporation,Construction,India,Hyderabad,707 MG Road,208329,4.8,2.2,2.7,23.36,17.55,BBB+,70.07,4.72,28.4,27,625,,info@pinnaclecorporation.in,+91-33-15715376,132,77.16,18689218.58,123,"steel bars, concrete mixers"
SUP1128,Strategic Pvt Ltd,Automotive,India,Nashik,635 Business District,403906,4.1,2.8,5.3,31.85,16.67,BBB,86.01,4.64,22.1,7,2944,ISO 14001,info@strategicpvtltd.in,+91-44-69887828,269,97.92,34398886.56,218,"wheels, tires"
SUP1129,Universal Exports,Construction,India,Faridabad,140 Business District,326257,3.3,1.3,2.9,31.45,8.74,AA-,85.28,4.23,26.6,30,2077,ISO 9001,info@universalexports.in,+91-40-77478646,326,96.19,8175345.66,274,"bricks, roofing materials"
SUP1130,Summit Solutions,Textiles,India,Bangalore,997 Industrial Area,749806,3.7,2.8,5.3,34.99,13.03,A+,91.34,4.94,2.9,31,189,,info@summitsolutions.in,+91-79-19572555,38,83.84,18526504.92,31,"cotton fabrics, finished garments"
SUP1131,United Works,Electronics,India,Srinagar,672 Sector 53,393817,2.0,2.4,4.1,32.47,15.98,A,96.85,4.35,16.7,21,4734,ISO 14001,info@unitedworks.in,+91-80-31573939,96,94.09,20721639.99,76,"chargers, power supplies, adapters"
SUP1132,Alpha Limited,Textiles,India,Varanasi,998 Industrial Area,581674,4.4,1.3,5.3,-4.73,14.84,AA,79.98,4.18,17.8,4,78,ISO 14001,info@alphalimited.in,+91-20-51045860,498,76.54,34070828.14,377,"finished garments, polyester yarn"
SUP1133,Alpha India,Chemicals,India,Chennai,676 Industrial Area,749844,2.7,2.9,6.3,9.36,11.45,A-,97.93,3.83,41.0,9,2699,ISO 9001,info@alphaindia.in,+91-20-98289606,425,97.68,35479411.19,311,"pigments, resins, dyes"
SUP1134,Premier Technologies,Textiles,India,Thane,438 MG Road,797881,5.1,1.5,3.3,14.57,4.64,AA,80.97,3.53,15.0,10,508,ISO 14001,info@premiertechnologies.in,+91-80-58441155,239,81.44,34635883.3,216,"technical textiles, fashion wear"
SUP1135,Beta Pvt Ltd,Chemicals,India,Pune,370 Zone 36,651112,4.5,1.4,5.1,22.39,14.22,BBB+,80.78,3.45,34.4,40,3416,,info@betapvtltd.in,+91-80-45340810,202,68.4,1080823.04,157,"coatings, paints"
SUP1136,Delta Enterprises,Machinery,India,Ludhiana,955 Zone 24,401662,4.8,1.8,6.0,22.26,7.23,BBB-,70.7,3.32,39.4,12,4115,ISO 14001,info@deltaenterprises.in,+91-33-74143907,343,80.82,2293248.46,245,"lathes, drilling equipment, welding machines"
SUP1137,International Manufacturing,Electronics,India,Rajkot,573 Sector 85,606365,2.3,3.1,4.0,14.81,17.65,A+,96.99,3.64,42.3,32,2701,ISO 9001,info@internationalmanufacturing.in,+91-33-13625561,43,71.14,15805065.73,31,"motherboards, LED displays, memory chips"
SUP1138,Vertex Group,Textiles,India,Nagpur,766 Industrial Area,399737,2.4,2.5,4.6,2.4,12.95,A,89.25,4.27,3.1,16,3510,ISO 14001,info@vertexgroup.in,+91-11-82294541,268,95.62,33500241.54,217,"finished garments, polyester yarn, cotton fabrics"
SUP1139,Quantum Solutions,Food & Beverage,India,Varanasi,296 Sector 90,765609,4.0,2.5,4.4,17.29,5.79,BBB+,79.74,4.83,22.0,14,1055,ISO 9001,info@quantumsolutions.in,+91-80-97642844,353,65.8,37338068.0,321,"cooking oils, sauces"
SUP1140,Omega Group,Food & Beverage,India,Indore,812 Sector 81,770167,1.6,3.4,6.3,4.81,5.39,AA+,90.3,3.94,6.8,10,2886,ISO 14001,info@omegagroup.in,+91-20-76174954,366,67.75,18076369.6,261,"confectionery, canned goods, processed foods"
SUP1141,Omega Traders,Construction,India,Rajkot,815 Sector 31,813037,4.2,3.8,6.4,19.02,7.91,BBB,81.65,4.34,24.4,31,2627,ISO 14001,info@omegatraders.in,+91-33-30547631,498,92.98,2157420.65,486,"electrical fittings, plumbing fixtures"
SUP1142,Dynamic Manufacturing,Pharma,India,Chennai,604 Business District,253004,2.2,2.8,5.2,25.4,7.15,AAA,85.65,4.21,25.7,28,3578,ISO 9001,info@dynamicmanufacturing.in,+91-80-41672292,407,86.58,32620327.43,303,"ointments, injections"
SUP1143,Frontier Systems,Food & Beverage,India,Jabalpur,67 MG Road,807235,4.9,1.7,2.9,29.67,16.63,BBB+,72.23,3.62,28.6,35,2760,ISO 9001,info@frontiersystems.in,+91-20-26491297,309,82.2,22635464.05,274,"condiments, sauces"
SUP1144,Phoenix Pvt Ltd,Pharma,India,Hyderabad,203 Sector 29,889594,2.5,1.9,2.8,5.7,3.97,AA-,71.49,4.02,16.1,15,2321,ISO 9001,info@phoenixpvtltd.in,+91-22-85932646,253,79.12,22891654.33,213,"tablets, pharmaceutical APIs, capsules"
SUP1145,Vanguard Pvt Ltd,Construction,India,Bangalore,265 Industrial Area,744580,2.5,3.9,5.8,16.63,12.28,BBB,81.09,3.95,2.0,9,1719,ISO 9001,info@vanguardpvtltd.in,+91-40-56758724,149,83.29,43048585.83,117,"plumbing fixtures, doors"
SUP1146,Strategic Supplies,Construction,India,Jabalpur,952 MG Road,574481,4.9,4.2,6.4,7.04,16.51,A+,76.65,4.2,37.7,20,4308,ISO 9001,info@strategicsupplies.in,+91-44-70418382,33,92.24,1193036.68,33,"doors, plumbing fixtures, electrical fittings"
SUP1147,United India,Machinery,India,Surat,982 Industrial Area,153246,2.7,2.5,2.9,6.54,13.51,AA,94.46,3.38,3.8,19,4083,ISO 9001,info@unitedindia.in,+91-80-47720982,459,94.63,18537763.08,401,"packaging machines, assembly line equipment, presses"
SUP1148,Titan Industries,Food & Beverage,India,Aurangabad,790 Sector 14,812712,4.3,1.5,3.7,20.4,12.46,AA-,86.04,4.07,35.1,34,4448,ISO 9001,info@titanindustries.in,+91-20-10828740,217,86.19,5399952.98,209,"bakery items, frozen foods, dairy products"
SUP1149,Modern Products,Chemicals,India,Ranchi,498 Business District,217991,3.7,1.3,5.9,13.26,12.16,AA+,82.43,4.59,42.9,44,1885,ISO 9001,info@modernproducts.in,+91-44-64598627,40,66.15,28874842.6,35,"industrial chemicals, adhesives, polymers"
SUP1150,Pinnacle Pvt Ltd,Machinery,India,Mumbai,490 Sector 8,588724,5.5,1.5,6.9,23.93,4.9,BBB+,97.26,4.64,19.6,7,1737,ISO 9001,info@pinnaclepvtltd.in,+91-11-51286630,413,94.21,34416176.35,356,"motors, conveyor systems, industrial robots"
SUP1151,United Corporation,Construction,India,Navi Mumbai,765 Main Street,342666,4.0,2.3,2.5,9.02,15.78,AA,87.54,4.02,22.4,45,890,,info@unitedcorporation.in,+91-80-34046694,495,92.28,33608865.59,358,"tiles, bricks"
SUP1152,Sigma Limited,Chemicals,India,Nagpur,730 MG Road,580491,5.1,1.8,3.6,23.45,11.26,BBB,89.73,3.63,18.1,34,1910,ISO 14001,info@sigmalimited.in,+91-11-69163598,172,85.68,44954562.04,120,"pesticides, herbicides, fertilizers"
SUP1153,Horizon Solutions,Pharma,India,Rajkot,749 Business District,710305,4.0,2.0,2.7,17.82,6.92,AA,90.45,4.48,46.5,5,2474,ISO 9001,info@horizonsolutions.in,+91-22-77618755,331,76.49,49093870.32,316,"tablets, capsules"
SUP1154,Pinnacle International,Electronics,India,Surat,837 Industrial Area,128841,4.8,1.8,6.3,25.12,11.34,BBB-,93.71,3.04,41.8,31,709,ISO 14001,info@pinnacleinternational.in,+91-22-71656586,105,67.82,45169459.76,101,"sensors, cameras"
SUP1155,National Exports,Chemicals,India,Jaipur,468 Sector 33,704382,1.8,2.6,5.8,29.37,10.27,A-,98.43,4.63,4.1,28,3016,ISO 9001,info@nationalexports.in,+91-44-59193750,364,93.67,15730290.81,302,"herbicides, fertilizers"
SUP1156,Heritage India,Electronics,India,Ludhiana,998 Main Street,801273,2.9,3.7,4.2,19.67,17.15,BBB+,74.85,3.9,37.4,45,533,ISO 9001,info@heritageindia.in,+91-11-71080810,360,69.47,39052400.59,319,"circuit boards, laptops, monitors"
SUP1157,Orion Enterprises,Automotive,India,Aurangabad,425 MG Road,408490,4.7,3.5,5.4,4.87,10.86,BBB+,85.23,4.6,37.7,31,4555,ISO 9001,info@orionenterprises.in,+91-22-31755179,287,78.76,38491161.97,235,"tires, wheels, body panels"
SUP1158,Nexus Associates,Construction,India,Mumbai,692 MG Road,519443,3.2,1.5,6.7,22.85,14.12,AA+,82.86,4.47,15.1,7,619,,info@nexusassociates.in,+91-33-33488405,56,88.87,45081074.81,40,"doors, electrical fittings"
SUP1159,Premier Pvt Ltd,Automotive,India,Mumbai,469 Business District,600003,4.1,4.4,6.3,3.14,10.54,A-,77.04,3.04,39.2,39,1178,ISO 9001,info@premierpvtltd.in,+91-40-28766124,418,90.03,1533159.28,305,"body panels, tires, wheels"
SUP1160,Innovative Enterprises,Construction,India,Meerut,977 MG Road,795777,5.4,1.8,5.2,15.36,17.43,BB,91.78,4.27,8.6,16,2670,ISO 14001,info@innovativeenterprises.in,+91-40-12027756,176,74.47,33749078.26,143,"tiles, bricks"
SUP1161,Global Limited,Automotive,India,Aurangabad,722 MG Road,355207,3.1,3.1,3.3,29.2,8.33,A+,87.87,4.77,39.5,3,3509,,info@globallimited.in,+91-22-78259900,365,79.41,18248447.96,310,"filters, exhaust systems, steering systems"
SUP1162,Apex Pvt Ltd,Pharma,India,Vadodara,621 Sector 19,876787,5.4,3.3,3.7,15.75,11.09,BB,80.22,4.25,2.9,22,4640,ISO 9001,info@apexpvtltd.in,+91-33-19387474,455,69.43,14842885.96,349,"pharmaceutical APIs, capsules, tablets"
SUP1163,Atlas Pvt Ltd,Pharma,India,Varanasi,721 MG Road,448445,4.5,2.4,6.7,1.45,9.79,A-,89.77,4.69,30.7,32,1410,,info@atlaspvtltd.in,+91-40-58473003,465,88.25,46516135.82,384,"capsules, pharmaceutical APIs, tablets"
SUP1164,Sigma Works,Chemicals,India,Vasai-Virar,557 Business District,283514,2.0,2.1,2.3,16.84,4.64,BBB,76.4,3.48,40.9,13,3441,,info@sigmaworks.in,+91-22-69951976,141,86.62,13145990.93,118,"dyes, pigments"
SUP1165,Beta Solutions,Machinery,India,Coimbatore,647 Business District,787555,4.1,1.9,2.5,5.64,13.09,AA+,72.19,4.15,26.8,32,1206,ISO 14001,info@betasolutions.in,+91-79-41314377,303,97.11,39905919.51,272,"turbines, generators, transformers"
SUP1166,Phoenix Supplies,Automotive,India,Nagpur,615 Zone 20,159616,4.3,3.3,2.6,17.47,10.71,BBB-,85.23,4.83,4.6,20,3851,ISO 9001,info@phoenixsupplies.in,+91-44-84665376,446,66.81,48653734.31,431,"steering systems, exhaust systems, filters"
SUP1167,Pinnacle Technologies,Construction,India,Faridabad,136 Main Street,803077,4.8,3.6,6.9,8.52,13.28,A,90.13,3.45,31.1,9,845,ISO 9001,info@pinnacletechnologies.in,+91-79-57494825,249,67.45,1462216.1,176,"construction machinery, tools, scaffolding"
SUP1168,Dynamic Works,Electronics,India,Lucknow,614 Sector 68,445628,4.5,1.1,6.7,30.81,7.58,BBB-,71.35,4.09,41.6,21,4142,ISO 14001,info@dynamicworks.in,+91-79-15193465,369,91.61,43380437.96,367,"chargers, adapters, power supplies"
SUP1169,Heritage Solutions,Construction,India,Srinagar,965 Industrial Area,652796,4.3,1.0,4.1,8.68,12.68,BB+,84.9,3.06,46.8,45,1328,ISO 14001,info@heritagesolutions.in,+91-33-73672550,408,94.3,19279208.79,376,"roofing materials, bricks, tiles"
SUP1170,Prime Exports,Textiles,India,Navi Mumbai,261 Main Street,727404,2.4,1.3,2.5,3.57,9.85,AA-,79.04,4.91,35.3,17,592,ISO 14001,info@primeexports.in,+91-33-56031670,372,91.51,23851191.31,327,"finished garments, polyester yarn, cotton fabrics"
SUP1171,Stellar Pvt Ltd,Automotive,India,Faridabad,336 Sector 32,194149,2.1,4.0,3.4,19.9,9.83,BB+,71.06,3.33,35.9,25,1544,ISO 14001,info@stellarpvtltd.in,+91-79-18930837,121,75.8,42073906.81,98,"wiring harnesses, lighting systems"
SUP1172,United India,Construction,India,Navi Mumbai,238 Main Street,674083,4.3,4.1,5.5,0.57,14.3,A+,96.2,4.34,14.9,16,4883,ISO 14001,info@unitedindia.in,+91-20-53941800,186,86.25,6785796.95,176,"electrical fittings, doors, plumbing fixtures"
SUP1173,Atlas Industries,Machinery,India,Mumbai,133 Main Street,190900,4.2,1.4,2.2,-2.05,5.81,AA-,95.1,4.06,38.2,37,4437,,info@atlasindustries.in,+91-80-34764911,70,88.16,18006773.95,62,"motors, industrial robots"
SUP1174,Modern Solutions,Construction,India,Nashik,547 MG Road,912465,2.9,4.3,2.1,26.87,12.07,BBB,89.12,4.18,14.3,41,198,ISO 9001,info@modernsolutions.in,+91-80-94749737,429,94.09,26277049.35,340,"electrical fittings, doors"
SUP1175,Stellar Supplies,Automotive,India,Kolkata,794 Main Street,984997,3.5,3.4,6.5,11.69,13.28,A-,79.5,4.59,43.7,21,4968,,info@stellarsupplies.in,+91-11-14045975,223,85.22,30981632.24,163,"steering systems, filters, exhaust systems"
SUP1176,Summit Exports,Automotive,India,Nashik,873 Sector 99,470309,4.3,2.0,6.3,13.49,3.32,AA-,95.22,3.46,18.3,45,2035,ISO 9001,info@summitexports.in,+91-40-56286096,166,67.09,25104193.52,163,"suspension parts, brake systems"
SUP1177,Innovative Pvt Ltd,Pharma,India,Visakhapatnam,377 Zone 44,326828,3.5,4.1,3.1,30.94,2.78,BB+,89.95,3.36,24.0,18,3216,ISO 9001,info@innovativepvtltd.in,+91-11-67156728,394,83.67,23045175.18,296,"medical devices, surgical supplies"
SUP1178,National Solutions,Chemicals,India,Ranchi,449 Industrial Area,177223,4.0,1.1,4.6,29.45,14.14,A+,85.5,4.23,26.0,36,456,ISO 9001,info@nationalsolutions.in,+91-33-49214844,382,70.27,42983675.37,360,"coatings, paints, solvents"
SUP1179,Synergy Enterprises,Textiles,India,Hyderabad,885 Main Street,271546,5.1,2.2,5.5,3.56,8.37,AAA,85.45,4.12,43.5,44,1970,ISO 14001,info@synergyenterprises.in,+91-79-47532818,71,78.48,33406321.24,63,"fashion wear, apparel fabrics"
SUP1180,Vertex Pvt Ltd,Textiles,India,Kanpur,284 Business District,344736,4.4,3.0,5.9,33.3,8.9,AA,82.52,4.03,43.4,17,361,ISO 9001,info@vertexpvtltd.in,+91-44-63614790,320,93.24,36445572.27,228,"synthetic fibers, silk fabrics, denim"
SUP1181,Imperial Supplies,Machinery,India,Jabalpur,983 Business District,268715,3.2,4.1,4.7,34.3,11.63,BBB,73.38,4.01,32.1,7,1568,ISO 9001,info@imperialsupplies.in,+91-79-19823707,399,80.11,48137293.72,315,"motors, conveyor systems"
SUP1182,Delta Corporation,Chemicals,India,Pune,198 MG Road,183909,5.1,3.2,3.9,2.42,7.86,AAA,94.19,3.74,20.6,28,4863,ISO 14001,info@deltacorporation.in,+91-11-13743736,327,96.07,47166010.48,322,"reagents, catalysts"
SUP1183,Synergy Industries,Food & Beverage,India,Kalyan-Dombivali,739 Main Street,658205,4.3,3.5,3.7,20.41,7.01,BB,86.56,4.29,44.4,37,4083,ISO 14001,info@synergyindustries.in,+91-40-36118142,445,87.74,4285895.52,343,"beverages, spices, packaged snacks"
SUP1184,Orion Works,Automotive,India,Patna,654 MG Road,173369,1.7,2.0,6.0,13.93,6.91,AAA,95.61,3.36,26.4,36,1194,ISO 9001,info@orionworks.in,+91-22-86279702,57,79.99,38195925.34,45,"bearings, clutches"
SUP1185,Nexus Systems,Chemicals,India,Pune,522 Business District,313496,4.0,4.4,3.6,26.79,6.33,BBB-,75.49,4.67,35.4,39,1873,ISO 9001,info@nexussystems.in,+91-79-96852444,48,72.16,23972929.85,42,"paints, coatings"
SUP1186,Metro Associates,Chemicals,India,Chennai,785 Industrial Area,498666,2.4,2.7,5.3,9.26,17.67,BBB-,83.09,4.74,4.3,32,4859,ISO 14001,info@metroassociates.in,+91-80-15856896,195,66.0,40079169.8,167,"polymers, industrial chemicals, adhesives"
SUP1187,Excellence Solutions,Machinery,India,Chennai,585 MG Road,410500,3.6,2.6,4.0,29.65,15.21,A,88.42,4.42,13.3,36,798,ISO 9001,info@excellencesolutions.in,+91-79-50678013,363,82.32,13917601.57,331,"CNC machines, compressors, hydraulic pumps"
SUP1188,Frontier Company,Automotive,India,Pimpri-Chinchwad,458 Industrial Area,810158,2.5,1.1,4.8,12.64,13.87,A,79.04,3.54,34.0,28,3403,ISO 14001,info@frontiercompany.in,+91-80-26451464,480,78.75,45686347.95,463,"wheels, body panels"
SUP1189,Premier Associates,Textiles,India,Varanasi,961 Main Street,351228,2.6,1.8,6.0,29.66,7.53,BB+,84.76,4.48,32.2,19,3353,ISO 9001,info@premierassociates.in,+91-40-11039348,268,91.51,44305889.53,210,"knitted goods, industrial fabrics"
SUP1190,Pioneer Corporation,Machinery,India,Indore,138 Industrial Area,351472,4.8,4.0,6.2,12.93,5.18,BBB,98.59,3.38,5.1,4,3548,ISO 9001,info@pioneercorporation.in,+91-79-75556125,383,70.87,22460681.99,348,"compressors, CNC machines"
SUP1191,Dynamic Limited,Food & Beverage,India,Vasai-Virar,890 Industrial Area,918653,2.9,2.8,2.5,-4.08,14.29,BBB,85.82,3.85,10.7,30,3615,ISO 14001,info@dynamiclimited.in,+91-11-16201891,307,71.04,22726922.87,244,"canned goods, confectionery, processed foods"
SUP1192,National Pvt Ltd,Electronics,India,Varanasi,552 Industrial Area,679334,3.0,2.9,4.6,5.9,7.82,AA-,70.5,3.68,47.0,11,1292,ISO 14001,info@nationalpvtltd.in,+91-44-20313709,164,69.83,49817759.62,135,"processors, tablets"
SUP1193,Delta India,Electronics,India,Dhanbad,691 Zone 9,788906,3.3,4.5,5.4,1.27,14.4,AAA,74.66,3.8,16.1,27,3375,ISO 14001,info@deltaindia.in,+91-22-62457208,439,78.31,26961347.83,323,"smartphones, processors"
SUP1194,Atlas Manufacturing,Machinery,India,Rajkot,694 MG Road,271726,5.0,1.3,6.0,23.45,16.07,AA+,97.27,3.74,16.1,6,4289,ISO 14001,info@atlasmanufacturing.in,+91-80-45157907,122,86.2,18486660.76,114,"assembly line equipment, packaging machines"
SUP1195,Premier Traders,Construction,India,Faridabad,528 Industrial Area,821810,5.4,2.6,3.6,23.46,6.33,BB,73.34,3.99,30.7,40,365,ISO 9001,info@premiertraders.in,+91-22-68056109,184,87.89,7856179.78,181,"steel bars, cement"
SUP1196,National Company,Electronics,India,Bhopal,317 Zone 24,525592,4.9,1.3,4.5,7.11,9.85,BB+,84.57,4.73,26.0,20,3370,ISO 14001,info@nationalcompany.in,+91-33-57426012,207,71.41,32962863.28,178,"motherboards, LED displays, memory chips"
SUP1197,Titan Industries,Chemicals,India,Mumbai,755 Business District,969511,3.1,3.5,2.5,30.84,16.51,A,77.75,3.43,15.6,27,199,ISO 9001,info@titanindustries.in,+91-40-72502850,320,92.81,28377607.67,312,"fertilizers, herbicides"
SUP1198,National Manufacturing,Machinery,India,Delhi,269 Industrial Area,270732,4.4,2.2,2.3,31.27,9.68,BBB+,93.32,4.6,45.4,22,4227,ISO 14001,info@nationalmanufacturing.in,+91-40-35341014,421,84.35,41843007.85,351,"conveyor systems, motors"
SUP1199,Royal Solutions,Pharma,India,Ludhiana,776 Sector 60,168174,4.8,2.4,4.1,13.09,14.16,A+,72.72,4.83,46.1,7,1879,,info@royalsolutions.in,+91-22-80318129,386,91.31,9430394.64,291,"herbal medicines, generic drugs, nutraceuticals"
SUP1200,Prime Corporation,Electronics,India,Nashik,537 Zone 24,287283,1.9,3.9,4.5,8.58,6.65,A+,88.6,4.77,20.3,4,1208,ISO 9001,info@primecorporation.in,+91-40-15928168,94,93.82,20108802.56,87,"adapters, chargers"
SUP1201,Atlas Systems,Textiles,India,Meerut,243 Industrial Area,256278,2.0,2.3,4.4,34.36,12.48,AA+,88.36,3.54,7.6,2,2963,ISO 9001,info@atlassystems.in,+91-22-78259648,130,68.62,2729021.32,103,"apparel fabrics, fashion wear, technical textiles"
SUP1202,Continental Group,Food & Beverage,India,Kalyan-Dombivali,644 MG Road,299426,3.1,2.9,4.1,19.75,16.18,A-,93.8,4.39,41.0,2,4040,ISO 9001,info@continentalgroup.in,+91-33-94756000,317,77.71,27204300.24,221,"canned goods, confectionery, processed foods"
SUP1203,United Pvt Ltd,Food & Beverage,India,Mumbai,85 Main Street,721502,4.9,2.3,5.9,7.4,5.78,AA+,72.94,3.68,29.0,44,823,,info@unitedpvtltd.in,+91-79-31004622,213,73.48,19511276.45,161,"instant foods, coffee, tea"
SUP1204,Prime Group,Automotive,India,Varanasi,228 MG Road,716433,2.6,1.5,4.0,21.45,3.11,A-,73.42,4.79,31.1,31,1781,ISO 9001,info@primegroup.in,+91-33-57809607,485,86.18,19548743.14,428,"clutches, transmissions"
