po_number,supplier_id,supplier_name,order_date,expected_delivery_date,actual_delivery_date,status,item_description,quantity,unit_price,subtotal,tax_rate,tax_amount,total_amount,currency,on_time_delivery,payment_terms,shipping_method,created_by,quality_rating,political_risk_rating,trade_risk_rating,natural_disaster_risk_rating,delivery_rating,response_time_rating,overall_rating,rating_comments
PO11346,SUP1232,Nexus Industries,2025-01-30,2025-02-11,2025-02-18,Completed,Supply of denim,82.0,48116.89,3945584.98,0.18,710205.3,4655790.28,INR,No,Net 60,Sea Freight,Sanjay Gupta,4.68,4.2,1.9,3.5,3.45,4.01,4.05,Excellent quality and timely delivery
PO11347,SUP1115,Metro International,2024-12-12,2024-12-24,2025-01-01,Delivered,Order for adapters,1.0,12624.13,12624.13,0.18,2272.34,14896.47,INR,No,Net 30,Sea Freight,Nikhil Shah,4.98,1.9,4.3,3.4,3.37,4.83,4.39,Good communication and service
PO11348,SUP1495,Modern Exports,2025-10-02,2025-10-17,2025-10-18,Completed,Order for insulation materials,451.0,25839.28,11653515.28,0.18,2097632.75,13751148.03,INR,No,Net 90,Sea Freight,Rohan Das,3.24,4.2,2.9,3.6,3.07,4.92,3.74,Product quality inconsistent
PO11349,SUP1342,Horizon Traders,2025-05-20,2025-06-03,,Cancelled,dairy products for production,11.0,8521.19,93733.09,0.18,16871.96,110605.05,INR,,Net 60,Sea Freight,Rohan Das,4.09,4.3,1.6,6.0,3.93,3.63,3.88,Below expected quality standards
PO11350,SUP1245,Global Limited,2025-05-27,2025-06-04,,Pending,Purchase of tablets,498.0,39032.29,19438080.42,0.18,3498854.48,22936934.9,INR,,Due on Receipt,Express Courier,Anita Desai,4.5,3.8,3.8,2.9,4.3,4.2,4.33,"High quality products, reliable supplier"
PO11351,SUP1181,Imperial Supplies,2025-09-14,2025-09-24,2025-10-04,Completed,motors - industrial grade,35.0,23685.44,828990.4,0.18,149218.27,978208.67,INR,No,Net 30,Rail,Rahul Verma,3.6,3.4,3.7,4.6,2.97,3.77,3.45,Product quality inconsistent
PO11352,SUP1139,Quantum Solutions,2025-04-10,2025-04-24,2025-04-30,Completed,Purchase of sauces,382.0,48958.17,18702020.94,0.18,3366363.77,22068384.71,INR,No,Net 30,Sea Freight,Deepika Nair,4.57,4.4,2.9,4.7,2.13,4.03,3.58,Some quality concerns
PO11353,SUP1490,National Traders,2025-07-23,2025-08-05,,Pending,reagents - industrial grade,415.0,29381.34,12193256.1,0.18,2194786.1,14388042.2,INR,,Net 30,Air Freight,Rohan Das,3.02,3.3,1.0,2.4,4.2,4.06,3.76,Needs improvement in delivery time
PO11354,SUP1100,Elite Solutions,2025-09-17,2025-10-04,,Pending,Supply of CNC machines,401.0,38738.71,15534222.71,0.18,2796160.09,18330382.8,INR,,Due on Receipt,Express Courier,Priya Sharma,3.67,2.6,1.3,5.4,4.2,4.67,4.18,Good communication and service
PO11355,SUP1396,Paramount India,2025-09-03,2025-09-23,2025-09-27,Completed,tires for production,322.0,4398.85,1416429.7,0.18,254957.35,1671387.05,INR,No,Net 30,Air Freight,Rajesh Kumar,3.71,2.7,4.1,5.0,3.31,4.49,3.84,Delayed shipment
PO11356,SUP1353,Royal Industries,2025-09-01,2025-09-12,2025-09-10,Delivered,Bulk order of bakery items,23.0,1881.21,43267.83,0.18,7788.21,51056.04,INR,Yes,Net 60,Air Freight,Rahul Verma,4.45,4.8,4.1,4.1,4.16,4.15,4.25,Good communication and service
PO11357,SUP1332,Phoenix Works,2025-11-13,2025-11-25,,Cancelled,Standard order: smartphones,235.0,37041.91,8704848.85,0.18,1566872.79,10271721.64,INR,,Due on Receipt,Air Freight,Nikhil Shah,4.31,5.1,1.3,2.6,4.21,3.37,3.96,Late delivery impacted schedule
PO11358,SUP1385,Quantum Company,2024-12-09,2024-12-29,,Cancelled,Procurement of dairy products,267.0,2270.21,606146.07,0.18,109106.29,715252.36,INR,,Net 90,Air Freight,Priya Sharma,3.28,3.9,3.5,6.8,4.08,3.7,3.69,Quality issues noted on inspection
PO11359,SUP1441,Universal Exports,2025-01-03,2025-01-18,,Pending,Procurement of windows,169.0,45798.11,7739880.59,0.18,1393178.51,9133059.1,INR,,Net 60,Rail,Rohan Das,3.91,4.8,4.5,6.5,4.11,4.47,4.16,Consistently meets expectations
PO11360,SUP1176,Summit Exports,2025-01-04,2025-01-17,,Pending,Standard order: suspension parts,141.0,21132.99,2979751.59,0.18,536355.29,3516106.88,INR,,Net 15,Air Freight,Rajesh Kumar,3.52,3.8,2.0,5.9,3.45,4.78,3.92,Communication could be improved
PO11361,SUP1228,Dynamic Associates,2025-05-11,2025-05-28,,Pending,upholstery fabrics - industrial grade,383.0,6379.0,2443157.0,0.18,439768.26,2882925.26,INR,,Net 45,Air Freight,Meera Iyer,2.98,3.3,1.9,5.2,3.53,3.98,3.5,Needs improvement in delivery time
PO11362,SUP1293,Universal Systems,2025-05-19,2025-06-02,,Pending,fertilizers for production,134.0,23090.91,3094181.94,0.18,556952.75,3651134.69,INR,,Net 15,Rail,Rahul Verma,3.83,4.8,3.4,5.4,4.0,3.8,3.88,Some quality concerns
PO11363,SUP1395,Metro Works,2025-04-18,2025-04-25,,Pending,Procurement of injections,360.0,23187.43,8347474.8,0.18,1502545.46,9850020.26,INR,,Due on Receipt,Road Transport,Anita Desai,3.97,4.5,3.8,5.2,4.03,4.23,4.08,Consistently meets expectations
PO11364,SUP1004,Premier Systems,2025-09-29,2025-10-19,2025-10-28,Completed,Bulk order of vitamins,276.0,7137.21,1969869.96,0.18,354576.59,2324446.55,INR,No,Net 30,Express Courier,Pooja Kapoor,3.77,4.1,2.7,2.0,3.64,4.55,3.99,Product quality inconsistent
PO11365,SUP1320,Precision Group,2025-03-17,2025-04-04,2025-04-04,Delivered,Supply of beverages,296.0,4250.87,1258257.52,0.18,226486.35,1484743.87,INR,Yes,Net 90,Rail,Amit Patel,4.07,3.6,1.8,6.9,4.84,3.75,4.22,Good communication and service
PO11366,SUP1434,Quantum Pvt Ltd,2025-11-05,2025-11-11,2025-11-13,Completed,Order for sauces,92.0,15662.24,1440926.08,0.18,259366.69,1700292.77,INR,No,Due on Receipt,Sea Freight,Sanjay Gupta,4.67,2.0,1.5,6.6,2.17,3.7,3.51,Delayed shipment
PO11367,SUP1332,Phoenix Works,2025-09-25,2025-10-11,2025-10-21,Delivered,Order for tablets,420.0,27316.16,11472787.2,0.18,2065101.7,13537888.9,INR,No,Net 90,Air Freight,Sneha Reddy,4.29,4.7,1.7,2.2,3.5,3.02,3.6,Some quality concerns
PO11368,SUP1398,Royal Enterprises,2025-03-12,2025-03-21,,Pending,Order for lathes,244.0,33480.58,8169261.52,0.18,1470467.07,9639728.59,INR,,Net 60,Rail,Arjun Mehta,4.52,3.4,3.3,5.8,4.29,4.0,4.27,"High quality products, reliable supplier"
PO11369,SUP1368,Summit Pvt Ltd,2025-01-18,2025-01-31,2025-02-08,Delivered,wiring harnesses - industrial grade,497.0,33467.57,16633382.29,0.18,2994008.81,19627391.1,INR,No,Due on Receipt,Express Courier,Priya Sharma,4.42,3.6,1.0,3.4,3.83,4.67,4.31,Dependable and quality-focused
PO11370,SUP1280,Pinnacle Group,2025-06-25,2025-07-04,2025-07-08,Delivered,Standard order: syrups,12.0,38928.25,467139.0,0.18,84085.02,551224.02,INR,No,Net 45,Road Transport,Anita Desai,4.48,2.1,2.0,3.2,3.73,4.57,4.26,Professional and responsive
PO11371,SUP1126,Royal Pvt Ltd,2025-01-02,2025-01-22,,Pending,Bulk order of suspension parts,486.0,40945.42,19899474.12,0.18,3581905.34,23481379.46,INR,,Net 60,Road Transport,Anita Desai,3.97,2.3,4.4,2.5,3.96,4.88,4.27,Professional and responsive
PO11372,SUP1337,Synergy Technologies,2025-06-16,2025-06-26,,Pending,power supplies - industrial grade,32.0,14712.18,470789.76,0.18,84742.16,555531.92,INR,,Net 90,Air Freight,Vikram Singh,4.91,3.0,4.7,5.0,3.5,4.85,4.42,Exceeds quality standards
PO11373,SUP1198,National Manufacturing,2025-06-29,2025-07-19,2025-07-20,Completed,Standard order: motors,331.0,17232.4,5703924.4,0.18,1026706.39,6730630.79,INR,No,Net 60,Sea Freight,Arjun Mehta,4.27,4.6,1.8,2.1,2.31,3.46,3.35,Quality control issues
PO11374,SUP1116,Synergy Products,2025-10-20,2025-10-31,,Pending,welding machines - industrial grade,381.0,13837.99,5272274.19,0.18,949009.35,6221283.54,INR,,Net 90,Rail,Nikhil Shah,3.36,2.4,2.7,6.6,3.27,4.03,3.55,Below expected quality standards
PO11375,SUP1221,Beta India,2025-02-06,2025-02-22,2025-03-02,Delivered,memory chips - industrial grade,275.0,2435.82,669850.5,0.18,120573.09,790423.59,INR,No,Net 60,Rail,Anita Desai,4.59,5.2,4.7,5.1,3.04,3.83,3.82,Quality control issues
PO11376,SUP1238,Excellence Systems,2025-02-13,2025-02-25,,Pending,Purchase of industrial chemicals,14.0,38502.4,539033.6,0.18,97026.05,636059.65,INR,,Net 90,Sea Freight,Rahul Verma,4.63,4.3,2.8,5.7,4.23,4.04,4.3,Excellent quality and timely delivery
PO11377,SUP1284,Continental International,2025-08-03,2025-08-14,2025-08-22,Delivered,Standard order: specialty chemicals,491.0,13343.84,6551825.44,0.18,1179328.58,7731154.02,INR,No,Net 60,Road Transport,Kavita Joshi,3.43,2.5,1.4,6.5,3.4,2.88,3.24,Some quality concerns
PO11378,SUP1486,Imperial Systems,2025-03-12,2025-03-29,,Pending,Order for synthetic fibers,21.0,17820.48,374230.08,0.18,67361.41,441591.49,INR,,Net 60,Air Freight,Sneha Reddy,2.88,2.5,3.2,2.6,3.96,4.77,3.87,Quality control issues
PO11379,SUP1209,Universal Works,2025-05-30,2025-06-08,2025-06-13,Completed,towels for production,476.0,41468.0,19738768.0,0.18,3552978.24,23291746.24,INR,No,Net 45,Rail,Nikhil Shah,4.69,2.2,1.5,7.2,2.79,4.67,4.05,Excellent quality and timely delivery
PO11380,SUP1067,Heritage Company,2025-11-23,2025-12-13,2025-12-16,Completed,Supply of LED displays,205.0,20974.6,4299793.0,0.18,773962.74,5073755.74,INR,No,Net 90,Express Courier,Rahul Verma,3.68,3.6,1.8,6.2,2.98,4.89,3.85,Needs improvement in delivery time
PO11381,SUP1470,Stellar Manufacturing,2025-08-12,2025-08-24,,Pending,Supply of apparel fabrics,438.0,37743.43,16531622.34,0.18,2975692.02,19507314.36,INR,,Net 60,Rail,Arjun Mehta,3.52,5.1,2.8,4.7,3.48,4.82,3.94,Quality issues noted on inspection
PO11382,SUP1471,Orion India,2025-11-13,2025-12-02,,Cancelled,Purchase of generic drugs,10.0,33426.19,334261.9,0.18,60167.14,394429.04,INR,,Due on Receipt,Sea Freight,Priya Sharma,4.55,5.4,1.8,4.7,4.23,4.04,4.27,Excellent quality and timely delivery
PO11383,SUP1443,Vertex Manufacturing,2025-07-25,2025-08-14,2025-08-22,Delivered,Standard order: home textiles,218.0,36552.78,7968506.04,0.18,1434331.09,9402837.13,INR,No,Due on Receipt,Air Freight,Nikhil Shah,3.7,2.0,1.1,2.2,3.45,4.33,3.83,Communication could be improved
PO11384,SUP1145,Vanguard Pvt Ltd,2025-09-10,2025-09-15,,Cancelled,plumbing fixtures - industrial grade,181.0,36123.01,6538264.81,0.18,1176887.67,7715152.48,INR,,Net 90,Air Freight,Kavita Joshi,4.05,2.3,3.8,5.5,3.46,4.72,4.08,"High quality products, reliable supplier"
PO11385,SUP1249,Modern Technologies,2025-11-19,2025-12-08,,Cancelled,motors for production,55.0,39643.1,2180370.5,0.18,392466.69,2572837.19,INR,,Net 60,Rail,Rajesh Kumar,3.41,2.8,1.1,2.7,4.25,4.57,4.08,Quality products delivered on time
PO11386,SUP1191,Dynamic Limited,2025-05-06,2025-05-21,,Cancelled,Bulk order of confectionery,26.0,49627.76,1290321.76,0.18,232257.92,1522579.68,INR,,Net 90,Air Freight,Deepika Nair,4.08,2.5,2.6,2.5,4.47,4.93,4.49,Professional and responsive
PO11387,SUP1310,Sigma Solutions,2025-08-18,2025-08-29,2025-08-31,Delivered,Standard order: confectionery,356.0,20365.9,7250260.4,0.18,1305046.87,8555307.27,INR,No,Net 30,Express Courier,Rahul Verma,3.56,4.8,4.5,6.3,3.38,3.7,3.55,Communication could be improved
PO11388,SUP1128,Strategic Pvt Ltd,2025-01-20,2025-01-27,2025-02-05,Delivered,Order for wheels,23.0,14559.54,334869.42,0.18,60276.5,395145.92,INR,No,Net 45,Rail,Meera Iyer,4.87,4.4,2.5,5.2,2.45,4.15,3.82,Some quality concerns
PO11389,SUP1269,Zenith Manufacturing,2025-05-12,2025-05-17,2025-05-25,Delivered,Supply of lathes,464.0,7836.05,3635927.2,0.18,654466.9,4290394.1,INR,No,Net 30,Rail,Vikram Singh,3.39,4.4,3.9,5.6,3.4,4.47,3.75,Late delivery impacted schedule
PO11390,SUP1317,Sigma Exports,2025-09-25,2025-10-01,2025-10-09,Completed,Supply of specialty chemicals,203.0,17240.19,3499758.57,0.18,629956.54,4129715.11,INR,No,Net 15,Sea Freight,Pooja Kapoor,4.92,5.3,3.3,3.8,3.79,4.8,4.5,Exceeds quality standards
PO11391,SUP1485,Global Limited,2025-10-29,2025-11-07,,Cancelled,Procurement of exhaust systems,43.0,13500.93,580539.99,0.18,104497.2,685037.19,INR,,Net 15,Rail,Sanjay Gupta,3.51,5.1,3.8,2.2,3.48,4.64,3.88,Needs improvement in delivery time
PO11392,SUP1496,Zenith Company,2025-06-19,2025-06-26,2025-06-25,Delivered,Order for paint,486.0,39593.02,19242207.72,0.18,3463597.39,22705805.11,INR,Yes,Net 60,Sea Freight,Priya Sharma,4.02,3.9,3.9,4.9,4.11,3.68,3.94,Quality control issues
PO11393,SUP1173,Atlas Industries,2024-12-07,2024-12-18,2024-12-21,Completed,industrial robots - industrial grade,46.0,16506.44,759296.24,0.18,136673.32,895969.56,INR,No,Net 60,Air Freight,Meera Iyer,4.46,4.5,1.2,2.3,3.74,2.8,3.67,Needs improvement in delivery time
PO11394,SUP1320,Precision Group,2025-05-22,2025-06-08,,Cancelled,Supply of packaged snacks,163.0,17596.51,2868231.13,0.18,516281.6,3384512.73,INR,,Net 45,Air Freight,Rohan Das,4.1,3.9,1.4,6.8,4.48,4.01,4.2,Good communication and service
PO11395,SUP1226,Titan Works,2025-05-07,2025-05-24,,Pending,Procurement of motherboards,419.0,27279.87,11430265.53,0.18,2057447.8,13487713.33,INR,,Net 90,Road Transport,Rohan Das,4.1,2.3,2.2,5.7,3.17,4.76,4.01,Exceeds quality standards
PO11396,SUP1261,Elite Associates,2025-07-24,2025-08-12,,Pending,industrial chemicals for production,422.0,683.19,288306.18,0.18,51895.11,340201.29,INR,,Net 45,Sea Freight,Meera Iyer,3.34,5.5,4.2,2.8,3.55,4.81,3.9,Quality issues noted on inspection
PO11397,SUP1003,Imperial Manufacturing,2025-11-14,2025-11-20,,Cancelled,Purchase of steering systems,13.0,2046.07,26598.91,0.18,4787.8,31386.71,INR,,Due on Receipt,Express Courier,Rohan Das,2.72,5.2,3.4,4.5,3.35,4.07,3.38,Delivery delays affected production
PO11398,SUP1461,Apex Works,2025-03-19,2025-04-08,,Pending,Order for presses,61.0,4320.44,263546.84,0.18,47438.43,310985.27,INR,,Net 15,Air Freight,Rohan Das,4.73,4.6,2.8,4.8,3.19,4.4,4.11,Exceeds quality standards
PO11399,SUP1262,Elite Manufacturing,2025-03-11,2025-03-29,,Cancelled,Standard order: generic drugs,42.0,39778.04,1670677.68,0.18,300721.98,1971399.66,INR,,Net 15,Air Freight,Rahul Verma,3.42,3.9,3.9,6.3,3.78,4.48,3.89,Late delivery impacted schedule
PO11400,SUP1347,Excellence India,2025-01-19,2025-02-05,,Cancelled,Bulk order of presses,131.0,6648.82,870995.42,0.18,156779.18,1027774.6,INR,,Net 15,Air Freight,Nikhil Shah,3.5,3.1,2.8,2.1,3.86,4.52,3.96,Below expected quality standards
PO11401,SUP1382,Universal Exports,2025-07-11,2025-07-22,,Cancelled,Procurement of conveyor systems,198.0,4115.37,814843.26,0.18,146671.79,961515.05,INR,,Net 15,Road Transport,Nikhil Shah,4.87,5.1,3.0,5.4,4.11,4.14,4.37,Quality products delivered on time
PO11402,SUP1375,Pioneer Industries,2025-04-29,2025-05-12,,Cancelled,concrete mixers - industrial grade,80.0,23220.38,1857630.4,0.18,334373.47,2192003.87,INR,,Due on Receipt,Express Courier,Arjun Mehta,3.66,2.4,2.8,4.4,4.33,4.97,4.32,Excellent quality and timely delivery
PO11403,SUP1073,Zenith Traders,2025-07-04,2025-07-10,2025-07-12,Completed,Bulk order of engine components,261.0,4047.82,1056481.02,0.18,190166.58,1246647.6,INR,No,Due on Receipt,Sea Freight,Vikram Singh,3.82,4.4,4.3,4.2,2.05,4.63,3.5,Delayed shipment
PO11404,SUP1482,Heritage Enterprises,2024-11-27,2024-12-13,2024-12-22,Completed,wheels for production,413.0,2269.85,937448.05,0.18,168740.65,1106188.7,INR,No,Net 90,Sea Freight,Pooja Kapoor,4.47,1.7,2.4,2.8,3.42,4.18,4.02,"High quality products, reliable supplier"
PO11405,SUP1458,Synergy Group,2025-03-20,2025-04-06,,Cancelled,Standard order: upholstery fabrics,202.0,6807.84,1375183.68,0.18,247533.06,1622716.74,INR,,Net 60,Express Courier,Pooja Kapoor,4.08,3.7,2.0,6.5,3.71,4.05,3.95,Quality control issues
PO11406,SUP1202,Continental Group,2025-10-04,2025-10-20,,Cancelled,Procurement of canned goods,314.0,42006.71,13190106.94,0.18,2374219.25,15564326.19,INR,,Due on Receipt,Sea Freight,Deepika Nair,4.2,3.4,2.8,3.8,4.12,3.3,3.87,Quality control issues
PO11407,SUP1154,Pinnacle International,2025-07-03,2025-07-20,2025-07-17,Completed,sensors - industrial grade,404.0,24229.88,9788871.52,0.18,1761996.87,11550868.39,INR,Yes,Net 30,Road Transport,Sanjay Gupta,2.77,4.8,1.9,6.4,4.26,3.1,3.38,Product quality inconsistent
PO11408,SUP1219,Advanced India,2025-07-10,2025-07-23,,Pending,Bulk order of sensors,363.0,7813.22,2836198.86,0.18,510515.79,3346714.65,INR,,Net 15,Air Freight,Sanjay Gupta,4.44,3.9,1.2,2.5,3.99,4.78,4.4,"High quality products, reliable supplier"
PO11409,SUP1492,Vertex Limited,2025-02-17,2025-02-22,,Pending,Supply of bed linens,168.0,18475.38,3103863.84,0.18,558695.49,3662559.33,INR,,Due on Receipt,Rail,Sneha Reddy,2.94,2.8,4.2,7.3,4.1,3.73,3.59,Delayed shipment
PO11410,SUP1054,Beta Works,2025-01-20,2025-01-25,,Cancelled,Purchase of fertilizers,59.0,20421.12,1204846.08,0.18,216872.29,1421718.37,INR,,Net 60,Sea Freight,Priya Sharma,4.35,4.0,2.1,4.2,3.9,4.57,4.27,Dependable and quality-focused
PO11411,SUP1303,Pioneer Enterprises,2025-03-05,2025-03-21,2025-03-24,Delivered,cooking oils for production,142.0,10374.9,1473235.8,0.18,265182.44,1738418.24,INR,No,Net 30,Express Courier,Anita Desai,2.71,3.4,3.2,2.2,2.6,3.53,2.95,Product quality inconsistent
PO11412,SUP1001,Omega Products,2024-12-03,2024-12-10,2024-12-08,Completed,Purchase of filters,132.0,11010.01,1453321.32,0.18,261597.84,1714919.16,INR,Yes,Net 45,Road Transport,Sneha Reddy,3.58,4.4,4.2,2.7,4.59,3.97,4.05,Dependable and quality-focused
PO11413,SUP1199,Royal Solutions,2024-12-20,2024-12-27,2024-12-26,Delivered,Purchase of generic drugs,478.0,3272.98,1564484.44,0.18,281607.2,1846091.64,INR,Yes,Net 15,Express Courier,Deepika Nair,4.91,5.0,2.7,4.3,4.99,3.68,4.53,Reliable partner for our needs
PO11414,SUP1365,Vertex Solutions,2025-11-07,2025-11-14,,Cancelled,power supplies - industrial grade,474.0,3158.17,1496972.58,0.18,269455.06,1766427.64,INR,,Due on Receipt,Air Freight,Rohan Das,4.95,3.3,1.3,4.0,4.11,3.91,4.32,"Smooth transaction, good quality"
PO11415,SUP1471,Orion India,2025-11-11,2025-11-19,2025-11-26,Completed,Procurement of nutraceuticals,475.0,11144.14,5293466.5,0.18,952823.97,6246290.47,INR,No,Due on Receipt,Express Courier,Amit Patel,4.7,5.2,1.4,4.6,3.72,4.02,4.15,Professional and responsive
PO11416,SUP1236,Pioneer Systems,2025-01-08,2025-01-19,,Cancelled,Procurement of compressors,242.0,29143.4,7052702.8,0.18,1269486.5,8322189.3,INR,,Due on Receipt,Express Courier,Rohan Das,3.43,4.6,4.1,6.8,4.5,2.87,3.6,Needs improvement in delivery time
PO11417,SUP1407,Apex Exports,2025-04-13,2025-04-18,2025-04-23,Delivered,Purchase of technical textiles,338.0,29773.34,10063388.92,0.18,1811410.01,11874798.93,INR,No,Net 60,Sea Freight,Meera Iyer,4.64,3.7,2.3,2.9,3.47,4.08,4.06,"Smooth transaction, good quality"
PO11418,SUP1393,Phoenix Supplies,2025-03-11,2025-03-25,,Cancelled,Order for vitamins,34.0,8965.97,304842.98,0.18,54871.74,359714.72,INR,,Net 30,Rail,Meera Iyer,4.82,5.1,3.8,1.7,4.24,3.9,4.32,Good communication and service
PO11419,SUP1207,Stellar Manufacturing,2025-01-12,2025-02-01,,Pending,Bulk order of power supplies,315.0,1799.92,566974.8,0.18,102055.46,669030.26,INR,,Net 90,Air Freight,Arjun Mehta,3.59,3.7,1.8,3.7,3.63,4.89,4.04,Reliable partner for our needs
PO11420,SUP1323,Precision Exports,2025-10-26,2025-10-31,2025-10-29,Completed,Supply of compressors,30.0,18517.43,555522.9,0.18,99994.12,655517.02,INR,Yes,Due on Receipt,Air Freight,Priya Sharma,2.71,5.6,3.6,3.5,4.6,4.78,4.03,Professional and responsive
PO11421,SUP1397,Omega Industries,2025-06-18,2025-06-25,,Pending,Purchase of denim,444.0,5846.31,2595761.64,0.18,467237.1,3062998.74,INR,,Net 45,Express Courier,Rahul Verma,4.53,4.0,1.2,4.4,3.34,4.5,4.12,"High quality products, reliable supplier"
PO11422,SUP1494,National Enterprises,2025-09-04,2025-09-22,,Pending,Procurement of roofing materials,90.0,11019.06,991715.4,0.18,178508.77,1170224.17,INR,,Net 30,Express Courier,Nikhil Shah,4.59,4.7,3.1,4.6,3.23,3.59,3.8,Needs improvement in delivery time
PO11423,SUP1435,Vertex Supplies,2025-04-07,2025-04-14,2025-04-11,Completed,Procurement of monitors,390.0,16062.16,6264242.4,0.18,1127563.63,7391806.03,INR,Yes,Net 15,Express Courier,Amit Patel,4.6,1.2,4.0,3.4,4.23,4.67,4.5,"Smooth transaction, good quality"
PO11424,SUP1233,Metro Company,2025-04-05,2025-04-12,,Cancelled,tools - industrial grade,361.0,48877.38,17644734.18,0.18,3176052.15,20820786.33,INR,,Net 45,Road Transport,Meera Iyer,2.92,4.4,1.1,3.8,3.02,2.54,2.83,Some quality concerns
PO11425,SUP1452,Pioneer Exports,2025-02-15,2025-02-27,2025-02-26,Delivered,electrical fittings for production,403.0,43578.91,17562300.73,0.18,3161214.13,20723514.86,INR,Yes,Net 30,Express Courier,Amit Patel,4.19,2.6,3.7,5.9,4.97,3.74,4.3,Dependable and quality-focused
PO11426,SUP1251,Horizon Manufacturing,2025-01-16,2025-01-24,2025-02-03,Completed,finished garments - industrial grade,203.0,25611.11,5199055.33,0.18,935829.96,6134885.29,INR,No,Net 60,Sea Freight,Pooja Kapoor,4.74,1.8,3.1,7.0,2.71,4.07,3.84,Delivery delays affected production
PO11427,SUP1175,Stellar Supplies,2024-11-27,2024-12-06,,Cancelled,Supply of filters,385.0,43173.72,16621882.2,0.18,2991938.8,19613821.0,INR,,Net 15,Road Transport,Anita Desai,4.49,3.9,3.5,7.0,3.4,3.58,3.82,Quality issues noted on inspection
PO11428,SUP1351,Orion Associates,2025-02-03,2025-02-08,2025-02-07,Completed,Bulk order of canned goods,184.0,40951.17,7535015.28,0.18,1356302.75,8891318.03,INR,Yes,Net 15,Express Courier,Priya Sharma,4.08,4.6,2.6,4.8,4.57,3.91,4.19,Exceeds quality standards
PO11429,SUP1352,Excellence Traders,2025-11-21,2025-11-26,2025-12-05,Completed,Purchase of CNC machines,395.0,3958.02,1563417.9,0.18,281415.22,1844833.12,INR,No,Net 15,Road Transport,Vikram Singh,4.95,2.3,4.8,4.9,2.41,3.15,3.5,Communication could be improved
PO11430,SUP1407,Apex Exports,2025-11-23,2025-11-28,,Cancelled,technical textiles for production,7.0,988.34,6918.38,0.18,1245.31,8163.69,INR,,Due on Receipt,Rail,Vikram Singh,4.67,3.3,1.7,3.0,3.79,4.65,4.37,Excellent quality and timely delivery
PO11431,SUP1324,Paramount Supplies,2025-10-29,2025-11-11,2025-11-10,Completed,Order for motors,239.0,15186.0,3629454.0,0.18,653301.72,4282755.72,INR,Yes,Due on Receipt,Air Freight,Amit Patel,3.53,1.8,1.5,2.4,4.08,4.54,4.05,Consistently meets expectations
PO11432,SUP1072,Dynamic Company,2025-09-11,2025-09-25,2025-10-04,Completed,laptops for production,191.0,49136.99,9385165.09,0.18,1689329.72,11074494.81,INR,No,Net 15,Rail,Vikram Singh,3.97,5.1,2.6,5.2,2.46,3.71,3.38,Needs improvement in delivery time
PO11433,SUP1377,Innovative Company,2024-12-28,2025-01-05,,Cancelled,doors for production,26.0,9606.93,249780.18,0.18,44960.43,294740.61,INR,,Net 45,Road Transport,Vikram Singh,3.29,4.5,4.0,4.3,3.27,3.55,3.37,Late delivery impacted schedule
PO11434,SUP1108,Continental Group,2025-08-17,2025-08-23,2025-09-02,Completed,Supply of roofing materials,202.0,18189.76,3674331.52,0.18,661379.67,4335711.19,INR,No,Net 30,Air Freight,Sneha Reddy,3.45,2.1,1.9,6.2,2.99,4.14,3.53,Some quality concerns
PO11435,SUP1362,Synergy Pvt Ltd,2025-03-21,2025-04-06,2025-04-08,Completed,Order for presses,237.0,150.33,35628.21,0.18,6413.08,42041.29,INR,No,Net 45,Road Transport,Vikram Singh,3.35,2.1,1.9,6.2,3.17,4.58,3.7,Needs improvement in delivery time
PO11436,SUP1422,Paramount Group,2025-07-28,2025-08-03,,Cancelled,Bulk order of steel bars,497.0,13298.59,6609399.23,0.18,1189691.86,7799091.09,INR,,Net 90,Express Courier,Anita Desai,5.0,3.3,3.1,4.6,3.21,4.7,4.3,Professional and responsive
PO11437,SUP1376,Atlas Traders,2024-12-01,2024-12-13,2024-12-19,Delivered,Standard order: cooking oils,440.0,45983.12,20232572.8,0.18,3641863.1,23874435.9,INR,No,Net 15,Air Freight,Kavita Joshi,3.46,4.4,4.1,3.6,3.42,4.71,3.86,Communication could be improved
PO11438,SUP1049,Frontier Exports,2025-05-22,2025-06-05,2025-06-15,Completed,Purchase of industrial fabrics,107.0,12740.31,1363213.17,0.18,245378.37,1608591.54,INR,No,Net 45,Air Freight,Arjun Mehta,3.94,5.4,2.1,2.2,3.69,4.0,3.88,Quality control issues
PO11439,SUP1401,Beta Manufacturing,2024-12-05,2024-12-25,,Cancelled,Bulk order of pesticides,315.0,48054.89,15137290.35,0.18,2724712.26,17862002.61,INR,,Net 15,Air Freight,Sanjay Gupta,4.02,4.3,3.2,6.0,4.07,4.56,4.22,"Smooth transaction, good quality"
PO11440,SUP1098,Heritage Systems,2025-09-06,2025-09-18,2025-09-26,Completed,Supply of finished garments,114.0,29203.61,3329211.54,0.18,599258.08,3928469.62,INR,No,Net 90,Express Courier,Sanjay Gupta,4.66,4.1,1.4,4.1,3.71,4.39,4.25,Good communication and service
PO11441,SUP1315,Sigma International,2025-08-25,2025-09-05,,Cancelled,Procurement of packaging machines,270.0,19409.3,5240511.0,0.18,943291.98,6183802.98,INR,,Net 15,Road Transport,Arjun Mehta,3.43,3.2,1.8,4.6,3.13,4.37,3.64,Needs improvement in delivery time
